0.13, 4, white, Exit
0.13, 3, white, Entry
0.13, 3, white, Exit
0.13, 4, white, Entry
0.13, 4, white, Exit
0.13, 3, white, Entry
0.13, 3, white, Exit
0.13, 4, white, Entry
0.13, 4, white, Exit
0.13, 3, white, Entry
0.13, 3, white, Exit
0.13, 4, white, Entry
0.13, 4, white, Exit
0.13, 2, white, Entry
0.13, 2, white, Exit
0.13, 1, white, Entry
0.13, 1, white, Exit
0.13, 2, white, Entry
0.13, 2, white, Exit
0.13, 4, white, Entry
0.13, 4, white, Exit
0.13, 1, white, Entry
0.13, 1, white, Exit
0.13, 2, white, Entry
0.33, 2, white, Exit
0.33, 4, white, Entry
0.33, 4, white, Exit
0.33, 2, white, Entry
0.33, 2, white, Exit
0.33, 4, white, Entry
0.33, 4, white, Exit
0.33, 1, white, Entry
0.33, 1, white, Exit
0.33, 2, white, Entry
0.43, 2, white, Exit
0.43, 4, white, Entry
0.43, 4, white, Exit
0.43, 3, white, Entry
0.43, 3, white, Exit
0.43, 4, white, Entry
0.43, 4, white, Exit
0.43, 2, white, Entry
0.43, 2, white, Exit
0.43, 1, white, Entry
0.43, 1, white, Exit
0.43, 2, white, Entry
0.53, 2, white, Exit
0.53, 4, white, Entry
0.53, 4, white, Exit
0.53, 3, white, Entry
0.53, 3, white, Exit
0.53, 4, white, Entry
0.53, 4, white, Exit
0.53, 1, white, Entry
0.53, 1, white, Exit
0.53, 2, white, Entry
0.53, 2, white, Exit
0.53, 1, white, Entry
0.53, 1, white, Exit
0.53, 2, white, Entry
0.61, 2, white, Exit
0.61, 4, white, Entry
0.61, 4, white, Exit
0.61, 3, white, Entry
0.61, 3, white, Exit
0.61, 4, white, Entry
0.61, 4, white, Exit
0.61, 2, white, Entry
0.61, 2, white, Exit
0.61, 4, white, Entry
0.61, 4, white, Exit
0.61, 2, white, Entry
0.61, 2, white, Exit
0.61, 1, white, Entry
0.68, 1, white, Exit
0.68, 4, white, Entry
0.68, 4, white, Exit
0.68, 3, white, Entry
0.68, 3, white, Exit
0.68, 4, white, Entry
0.68, 4, white, Exit
0.68, 2, white, Entry
0.68, 2, white, Exit
0.68, 1, white, Entry
0.68, 1, white, Exit
0.68, 2, white, Entry
0.68, 2, white, Exit
0.68, 1, white, Entry
0.68, 1, white, Exit
